chunk_id,title,source_url,length,normalized_length,semantic_category,pattern_family,flags_text,text
v01_p0168_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 168,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,3,3,suspected_fragment,trailing_fragment,no_clean_sentence_end|chunk_index_gt_zero,ของ
v01_p0201_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 201,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,35,35,suspected_fragment,trailing_fragment,ends_with_dependent_mark|no_clean_sentence_end|chunk_index_gt_zero,งบัณเฑาะก์ก็มีเครื่องลาด ๑ ของภิกษุ
v01_p0203_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 203,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,30,30,suspected_fragment,leading_fragment,starts_with_dependent_mark|no_clean_sentence_end|chunk_index_gt_zero,่องลาด ของบัณเฑาะก์ก็มีเครื่อง
v01_p0210_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 210,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,27,27,suspected_fragment,leading_fragment,starts_with_dependent_mark|no_clean_sentence_end|chunk_index_gt_zero,์ก็ไม่มีเครื่องลาด ๑ ถ้าเธอ
v01_p0219_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 219,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,14,14,suspected_fragment,leading_fragment,starts_with_dependent_mark|chunk_index_gt_zero,ัติสังฆาทิเสส.
v01_p0220_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 220,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,4,4,suspected_fragment,trailing_fragment,no_clean_sentence_end|chunk_index_gt_zero,ต้อง
v01_p0223_c002,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 223,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,45,44,suspected_fragment,trailing_fragment,contains_newline|no_clean_sentence_end|chunk_index_gt_zero,ยสุกกะภายนอก โดยวิธีนี้อาบัติจักไม่มีแก่ท่าน
v01_p0231_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 231,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,21,21,suspected_fragment,leading_fragment,starts_with_dependent_mark|no_clean_sentence_end|chunk_index_gt_zero,ิง การเรื่องนี้ไม่ควร
v01_p0254_c002,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 254,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,9,9,suspected_fragment,leading_fragment,starts_with_dependent_mark|chunk_index_gt_zero,ิปาราชิก.
v01_p0256_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 256,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,38,38,suspected_fragment,leading_fragment,starts_with_dependent_mark|no_clean_sentence_end|chunk_index_gt_zero,์นั้นมาได้ ต้องอาบัติปาราชิกทั้ง ๒ รูป
v01_p0258_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 258,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,37,35,meaningful_structural,section_heading,contains_structure_keyword|contains_newline|starts_with_dependent_mark|chunk_index_gt_zero,ิ. ปฐมภาณวาร ในอทินนาทานสิกขาบท จบ.
v01_p0261_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 261,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,16,16,suspected_fragment,leading_fragment,starts_with_dependent_mark|no_clean_sentence_end|chunk_index_gt_zero,ีความรังเกียจว่า
v01_p0264_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 264,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,18,18,meaningful_content,other,chunk_index_gt_zero,กษุ เธอคิดอย่างไร?
v01_p0267_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 267,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,1,1,meaningful_content,other,chunk_index_gt_zero,.
v01_p0272_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 272,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,16,16,meaningful_content,other,chunk_index_gt_zero,บัติปาราชิกแล้ว.
v01_p0289_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 289,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,14,14,suspected_fragment,trailing_fragment,no_clean_sentence_end|chunk_index_gt_zero,พระพุทธเจ้าข้า
v01_p0290_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 290,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,27,27,suspected_fragment,trailing_fragment,no_clean_sentence_end|chunk_index_gt_zero,ย่อมสำเหนียกว่า เราจักระงับ
v01_p0292_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 292,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,25,25,suspected_fragment,trailing_fragment,no_clean_sentence_end|chunk_index_gt_zero,สนลำบากยากแค้นนี้ ท่านตาย
v01_p0296_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 296,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,47,46,meaningful_content,other,contains_newline|chunk_index_gt_zero,ษุนั้น เพราะเหตุนั้น จึงตรัสว่า หาสังวาสมิได้.
v01_p0306_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 306,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,23,23,suspected_fragment,leading_fragment,starts_with_dependent_mark|chunk_index_gt_zero,ูกรภิกษุ เธอคิดอย่างไร?
v01_p0320_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 320,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,36,36,suspected_fragment,trailing_fragment,ends_with_dependent_mark|no_clean_sentence_end|chunk_index_gt_zero,ถ้าเช่นนั้นท่านจงรีด นางจึงได้รีดให้
v01_p0346_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 346,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,49,49,suspected_fragment,leading_fragment,starts_with_dependent_mark|no_clean_sentence_end|chunk_index_gt_zero,ือ ๑ เบื้องต้นเธอรู้ว่า จักกล่าวเท็จ ๒ กำลังกล่าว
v01_p0354_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 354,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,44,44,suspected_fragment,trailing_fragment,no_clean_sentence_end|chunk_index_gt_zero,ความชอบใจ ๗ อำพรางความจริง ต้องอาบัติปาราชิก
v01_p0365_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 365,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,25,25,suspected_fragment,trailing_fragment,no_clean_sentence_end|chunk_index_gt_zero,ก็รู้ว่ากล่าวเท็จ ๓ ครั้น
v01_p0372_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 372,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,18,18,meaningful_content,other,chunk_index_gt_zero,ต้องอาบัติปาราชิก.
v01_p0387_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 387,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,21,21,suspected_fragment,trailing_fragment,no_clean_sentence_end|chunk_index_gt_zero,จ ต้องอาบัติถุลลัจจัย
v01_p0396_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 396,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,4,4,suspected_fragment,leading_fragment,starts_with_dependent_mark|no_clean_sentence_end|chunk_index_gt_zero,ุกกฏ
v01_p0418_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 418,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,14,14,meaningful_content,other,chunk_index_gt_zero,องอาบัติทุกกฏ.
v01_p0420_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 420,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,23,23,meaningful_content,other,chunk_index_gt_zero,แต่ต้องอาบัติถุลลัจจัย.
v01_p0443_c002,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 443,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,33,33,suspected_fragment,trailing_fragment,no_clean_sentence_end|chunk_index_gt_zero,สุกกะเคลื่อน ต้องอาบัติสังฆาทิเสส
v01_p0459_c002,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 459,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,20,19,suspected_fragment,trailing_fragment,contains_newline|no_clean_sentence_end|chunk_index_gt_zero,องอาบัติ สังฆาทิเสส
v01_p0470_c002,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 470,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,28,28,suspected_fragment,trailing_fragment,no_clean_sentence_end|chunk_index_gt_zero,เคลื่อน ต้องอาบัติสังฆาทิเสส
v01_p0474_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 474,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,21,21,meaningful_structural,section_closure,chunk_index_gt_zero,อุภโตพัทธมิสสจักร จบ.
v01_p0478_c002,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 478,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,3,3,suspected_fragment,trailing_fragment,no_clean_sentence_end|chunk_index_gt_zero,เสส
v01_p0504_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 504,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,17,17,artifact_noise,separator_line,separator_only|no_clean_sentence_end|chunk_index_gt_zero,_________________
v01_p0508_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 508,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,26,26,meaningful_content,other,chunk_index_gt_zero,อว่า ต้อง คือเพียงต้องตัว.
v01_p0571_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 571,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,22,22,suspected_fragment,trailing_fragment,no_clean_sentence_end|chunk_index_gt_zero,ก ต้องอาบัติสังฆาทิเสส
v01_p0572_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 572,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,7,7,suspected_fragment,trailing_fragment,no_clean_sentence_end|chunk_index_gt_zero,ฆาทิเสส
v01_p0574_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 574,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,49,49,suspected_fragment,trailing_fragment,no_clean_sentence_end|chunk_index_gt_zero,ษุรับคำ นำไปบอก และกลับมาบอก ต้องอาบัติสังฆาทิเสส
v01_p0578_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 578,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,39,39,suspected_fragment,trailing_fragment,no_clean_sentence_end|chunk_index_gt_zero,ไปบอก และกลับมาบอก ต้องอาบัติสังฆาทิเสส
v01_p0579_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 579,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,19,19,suspected_fragment,leading_fragment,starts_with_dependent_mark|no_clean_sentence_end|chunk_index_gt_zero,้องอาบัติสังฆาทิเสส
v01_p0580_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 580,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,25,25,suspected_fragment,leading_fragment,starts_with_dependent_mark|no_clean_sentence_end|chunk_index_gt_zero,าบอก ต้องอาบัติสังฆาทิเสส
v01_p0582_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 582,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,43,43,suspected_fragment,leading_fragment,starts_with_dependent_mark|no_clean_sentence_end|chunk_index_gt_zero,ำ นำไปบอก และกลับมาบอก ต้องอาบัติสังฆาทิเสส
v01_p0620_c002,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 620,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,23,22,suspected_fragment,leading_fragment,contains_newline|starts_with_dependent_mark|no_clean_sentence_end|chunk_index_gt_zero,าบัติสังฆาทิเสส ทุกรูป
v01_p0628_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 628,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,4,4,suspected_fragment,leading_fragment,starts_with_dependent_mark|no_clean_sentence_end|chunk_index_gt_zero,ี้:-
v01_p0648_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 648,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,11,11,suspected_fragment,trailing_fragment,no_clean_sentence_end|chunk_index_gt_zero,ทุกกฏ ๓ ตัว
v01_p0657_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 657,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,25,24,suspected_fragment,leading_fragment,contains_newline|starts_with_dependent_mark|ends_with_dependent_mark|no_clean_sentence_end|chunk_index_gt_zero,่อว่า สถานอันมีผู้จองไว้
v01_p0658_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 658,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,6,6,meaningful_content,other,chunk_index_gt_zero,ทิเสส.
v01_p0663_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 663,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,8,7,suspected_fragment,trailing_fragment,contains_newline|no_clean_sentence_end|chunk_index_gt_zero,ฏ ๒ ตัว
v01_p0667_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 667,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,20,20,suspected_fragment,trailing_fragment,no_clean_sentence_end|chunk_index_gt_zero,แม้ในเวลาค่ำคืน ด้วย
v01_p0684_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 684,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,6,6,meaningful_content,other,chunk_index_gt_zero,จ็บใจ.
v01_p0685_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 685,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,48,48,suspected_fragment,trailing_fragment,no_clean_sentence_end|chunk_index_gt_zero,เธอก่อนแล้วโจทเธอ หมายจะด่า ต้องอาบัติสังฆาทิเสส
v01_p0704_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 704,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,19,19,suspected_fragment,trailing_fragment,no_clean_sentence_end|chunk_index_gt_zero,งฆาทิเสส ทุกๆ คำพูด
v01_p0715_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 715,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,31,30,meaningful_content,other,contains_newline|chunk_index_gt_zero,ก่ท่านผู้ใด ท่านผู้นั้นพึงพูด.
v01_p0723_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 723,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,44,44,suspected_fragment,trailing_fragment,ends_with_dependent_mark|no_clean_sentence_end|chunk_index_gt_zero,งยกย่องอยู่อย่างนั้นเทียว ภิกษุนั้น อันภิกษุ
v01_p0725_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 725,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,17,17,suspected_fragment,trailing_fragment,no_clean_sentence_end|chunk_index_gt_zero,ท่านผู้นั้นพึงพูด
v01_p0734_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 734,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,11,11,suspected_fragment,leading_fragment,starts_with_dependent_mark|chunk_index_gt_zero,ียก็มีเล่า.
v01_p0735_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 735,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,27,27,suspected_fragment,leading_fragment,starts_with_dependent_mark|no_clean_sentence_end|chunk_index_gt_zero,าวภิกษุเหล่านั้นอย่างนี้ว่า
v01_p0737_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 737,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,17,17,suspected_fragment,trailing_fragment,ends_with_dependent_mark|no_clean_sentence_end|chunk_index_gt_zero,วทราม ความประพฤติ
v01_p0738_c003,พระไตรปิฎก เล่ม 1 (มหาวิภังค์ ปฐมภาค) หน้า 738,http://www.learntripitaka.com/TPD/Tripitaka-Thai/01.zip,10,10,suspected_fragment,leading_fragment,starts_with_dependent_mark|no_clean_sentence_end|chunk_index_gt_zero,้น สงฆ์สวด
v02_p0036_c002,พระไตรปิฎก เล่ม 2 (มหาวิภังค์ ทุติยภาค) หน้า 36,http://www.learntripitaka.com/TPD/Tripitaka-Thai/02.zip,20,20,suspected_fragment,trailing_fragment,no_clean_sentence_end|chunk_index_gt_zero,อ กล่าวอย่างนี้ว่า:-
v02_p0037_c002,พระไตรปิฎก เล่ม 2 (มหาวิภังค์ ทุติยภาค) หน้า 37,http://www.learntripitaka.com/TPD/Tripitaka-Thai/02.zip,21,20,meaningful_content,other,contains_newline|chunk_index_gt_zero,กัน ต้องอาบัติทุกกฏ.
v02_p0048_c002,พระไตรปิฎก เล่ม 2 (มหาวิภังค์ ทุติยภาค) หน้า 48,http://www.learntripitaka.com/TPD/Tripitaka-Thai/02.zip,11,11,suspected_fragment,trailing_fragment,no_clean_sentence_end|chunk_index_gt_zero,ว่าดังนี้:-
v02_p0053_c002,พระไตรปิฎก เล่ม 2 (มหาวิภังค์ ทุติยภาค) หน้า 53,http://www.learntripitaka.com/TPD/Tripitaka-Thai/02.zip,48,48,meaningful_content,other,chunk_index_gt_zero,คือ ไปถึงเรือนแล้ว เข้าไปหาในที่แห่งใดแห่งหนึ่ง.
v02_p0054_c002,พระไตรปิฎก เล่ม 2 (มหาวิภังค์ ทุติยภาค) หน้า 54,http://www.learntripitaka.com/TPD/Tripitaka-Thai/02.zip,46,46,suspected_fragment,leading_fragment,starts_with_dependent_mark|no_clean_sentence_end|chunk_index_gt_zero,ากว่า นั่งกระโหย่ง ประนมมือ กล่าวอย่างนี้ว่า:-
v02_p0065_c003,พระไตรปิฎก เล่ม 2 (มหาวิภังค์ ทุติยภาค) หน้า 65,http://www.learntripitaka.com/TPD/Tripitaka-Thai/02.zip,39,39,suspected_fragment,trailing_fragment,ends_with_dependent_mark|no_clean_sentence_end|chunk_index_gt_zero,อนอยู่ สองสามครั้ง ยังไวยาวัจกรนั้น ให้
v02_p0073_c002,พระไตรปิฎก เล่ม 2 (มหาวิภังค์ ทุติยภาค) หน้า 73,http://www.learntripitaka.com/TPD/Tripitaka-Thai/02.zip,33,32,meaningful_content,other,contains_newline|chunk_index_gt_zero,นิสสัคคีย์ ต้องอาบัติ ปาจิตตีย์.
v02_p0098_c002,พระไตรปิฎก เล่ม 2 (มหาวิภังค์ ทุติยภาค) หน้า 98,http://www.learntripitaka.com/TPD/Tripitaka-Thai/02.zip,25,25,suspected_fragment,leading_fragment,starts_with_dependent_mark|chunk_index_gt_zero,าหย่อน ... ไม่ต้องอาบัติ.
v02_p0104_c002,พระไตรปิฎก เล่ม 2 (มหาวิภังค์ ทุติยภาค) หน้า 104,http://www.learntripitaka.com/TPD/Tripitaka-Thai/02.zip,30,29,meaningful_content,other,contains_newline|chunk_index_gt_zero,องอาบัติทุกกฏ กับ นิสสัคคีย์.
v02_p0105_c002,พระไตรปิฎก เล่ม 2 (มหาวิภังค์ ทุติยภาค) หน้า 105,http://www.learntripitaka.com/TPD/Tripitaka-Thai/02.zip,28,27,meaningful_content,other,contains_newline|chunk_index_gt_zero,งอาบัติทุกกฏ กับนิสสัคคีย์.
v02_p0136_c002,พระไตรปิฎก เล่ม 2 (มหาวิภังค์ ทุติยภาค) หน้า 136,http://www.learntripitaka.com/TPD/Tripitaka-Thai/02.zip,14,13,meaningful_content,other,contains_newline|chunk_index_gt_zero,ติ ปาจิตตีย์.
v02_p0216_c003,พระไตรปิฎก เล่ม 2 (มหาวิภังค์ ทุติยภาค) หน้า 216,http://www.learntripitaka.com/TPD/Tripitaka-Thai/02.zip,30,30,suspected_fragment,leading_fragment,starts_with_dependent_mark|chunk_index_gt_zero,้องอาบัติปาจิตตีย์ ทุกๆ คำพูด.
v02_p0218_c002,พระไตรปิฎก เล่ม 2 (มหาวิภังค์ ทุติยภาค) หน้า 218,http://www.learntripitaka.com/TPD/Tripitaka-Thai/02.zip,36,36,suspected_fragment,leading_fragment,starts_with_dependent_mark|chunk_index_gt_zero,้เป็นต้น ต้องอาบัติทุกกฏ ทุกๆ คำพูด.
v02_p0222_c002,พระไตรปิฎก เล่ม 2 (มหาวิภังค์ ทุติยภาค) หน้า 222,http://www.learntripitaka.com/TPD/Tripitaka-Thai/02.zip,44,43,meaningful_content,other,contains_newline|chunk_index_gt_zero,", ดังนี้เป็นต้น ต้องอาบัติทุกกฏ ทุกๆ คำพูด."
v02_p0235_c002,พระไตรปิฎก เล่ม 2 (มหาวิภังค์ ทุติยภาค) หน้า 235,http://www.learntripitaka.com/TPD/Tripitaka-Thai/02.zip,48,48,suspected_fragment,leading_fragment,starts_with_dependent_mark|ends_with_dependent_mark|no_clean_sentence_end|chunk_index_gt_zero,ามประพฤติดังโค บางพวกมีความประพฤติดังลา บางพวกมี
v02_p0239_c002,พระไตรปิฎก เล่ม 2 (มหาวิภังค์ ทุติยภาค) หน้า 239,http://www.learntripitaka.com/TPD/Tripitaka-Thai/02.zip,45,45,meaningful_content,other,chunk_index_gt_zero,วาน ดังนี้เป็นต้น ต้องอาบัติทุกกฏ ทุกๆ คำพูด.
v02_p0268_c002,พระไตรปิฎก เล่ม 2 (มหาวิภังค์ ทุติยภาค) หน้า 268,http://www.learntripitaka.com/TPD/Tripitaka-Thai/02.zip,44,43,meaningful_content,other,contains_newline|chunk_index_gt_zero,กโมหะ ครอบงำ ต้องอาบัติทุพภาสิต ทุกๆ คำพูด.
